Register Tables,80
q1,7000
q2,18149
q3,4098
q4,226
q7,24488
q8,127057
q10,2892
q11,94
q13,8894
q15,8361
q17,13795
q18,13147
q19,4431
q22,16173
q24_part_1,20828
q24_part_2,20601
q25,17024
q26,8777
q28,11502
q29,13389
q30,1457
q31,24916
q33,10734
q34,8601
q38,13108
q41,450
q42,4693
q43,11798
q46,16238
q47,90934
q48,9936
q49,12302
q50,11038
q51,26582
q52,3360
q53,3941
q55,3117
q56,9834
q57,33478
q59,288958
q60,11236
q61,28350
q62,14547
q63,3732
q64,81849
q65,50872
q66,30757
q67,87944
q68,15934
q69,4300
q71,10617
q73,5882
q75,50998
q76,3929
q79,21546
q81,2930
q83,3076
q84,321
q85,2149
q87,13079
q88,56642
q89,6792
q90,1447
q91,1721
q93,35172
q96,3000
q97,18439
q99,28760
